timestamp,user_id,user_type,consumption_kwh,production_kwh,battery_level_kwh,grid_import_kwh,grid_export_kwh
2025-03-26 00:00:00,user_001,Residential Medium,16.92,0.0,0,10.67,0
2025-03-26 01:00:00,user_001,Residential Medium,22.13,0.0,0,22.13,0
2025-03-26 02:00:00,user_001,Residential Medium,18.8,0.0,0,18.8,0
2025-03-26 03:00:00,user_001,Residential Medium,21.13,0.0,0,21.13,0
2025-03-26 04:00:00,user_001,Residential Medium,18.52,0.0,0,18.52,0
2025-03-26 05:00:00,user_001,Residential Medium,17.42,0.0,0,17.42,0
2025-03-26 06:00:00,user_001,Residential Medium,17.29,0.0,0,17.29,0
2025-03-26 07:00:00,user_001,Residential Medium,20.95,1.11,0,19.83,0
2025-03-26 08:00:00,user_001,Residential Medium,12.26,2.15,0,10.11,0
2025-03-26 09:00:00,user_001,Residential Medium,10.8,4.49,0,6.31,0
2025-03-26 10:00:00,user_001,Residential Medium,13.02,4.37,0,8.65,0
2025-03-26 11:00:00,user_001,Residential Medium,15.1,4.16,0,10.94,0
2025-03-26 12:00:00,user_001,Residential Medium,10.57,5.31,0,5.26,0
2025-03-26 13:00:00,user_001,Residential Medium,10.4,4.16,0,6.24,0
2025-03-26 14:00:00,user_001,Residential Medium,15.4,5.32,0,10.08,0
2025-03-26 15:00:00,user_001,Residential Medium,12.15,3.05,0,9.11,0
2025-03-26 16:00:00,user_001,Residential Medium,14.45,2.88,0,11.57,0
2025-03-26 17:00:00,user_001,Residential Medium,12.65,1.11,0,11.53,0
2025-03-26 18:00:00,user_001,Residential Medium,14.39,0.0,0,14.39,0
2025-03-26 19:00:00,user_001,Residential Medium,13.79,0.0,0,13.79,0
2025-03-26 20:00:00,user_001,Residential Medium,12.24,0.0,0,12.24,0
2025-03-26 21:00:00,user_001,Residential Medium,23.15,0.0,0,23.15,0
2025-03-26 22:00:00,user_001,Residential Medium,15.67,0.0,0,15.67,0
2025-03-26 23:00:00,user_001,Residential Medium,22.32,0.0,0,22.32,0
2025-03-27 00:00:00,user_001,Residential Medium,23.05,0.0,0,23.05,0
2025-03-27 01:00:00,user_001,Residential Medium,16.48,0.0,0,16.48,0
2025-03-27 02:00:00,user_001,Residential Medium,18.74,0.0,0,18.74,0
2025-03-27 03:00:00,user_001,Residential Medium,21.37,0.0,0,21.37,0
2025-03-27 04:00:00,user_001,Residential Medium,16.16,0.0,0,16.16,0
2025-03-27 05:00:00,user_001,Residential Medium,20.93,0.0,0,20.93,0
2025-03-27 06:00:00,user_001,Residential Medium,17.99,0.0,0,17.99,0
2025-03-27 07:00:00,user_001,Residential Medium,17.28,1.11,0,16.16,0
2025-03-27 08:00:00,user_001,Residential Medium,10.85,2.15,0,8.7,0
2025-03-27 09:00:00,user_001,Residential Medium,15.31,3.05,0,12.27,0
2025-03-27 10:00:00,user_001,Residential Medium,11.19,4.15,0,7.04,0
2025-03-27 11:00:00,user_001,Residential Medium,14.76,4.16,0,10.59,0
2025-03-27 12:00:00,user_001,Residential Medium,11.09,4.31,0,6.79,0
2025-03-27 13:00:00,user_001,Residential Medium,13.63,4.16,0,9.47,0
2025-03-27 14:00:00,user_001,Residential Medium,10.85,3.73,0,7.12,0
2025-03-27 15:00:00,user_001,Residential Medium,14.61,3.87,0,10.73,0
2025-03-27 16:00:00,user_001,Residential Medium,12.07,2.15,0,9.92,0
2025-03-27 17:00:00,user_001,Residential Medium,12.08,1.11,0,10.97,0
2025-03-27 18:00:00,user_001,Residential Medium,14.83,0.0,0,14.83,0
2025-03-27 19:00:00,user_001,Residential Medium,10.37,0.0,0,10.37,0
2025-03-27 20:00:00,user_001,Residential Medium,15.19,0.0,0,15.19,0
2025-03-27 21:00:00,user_001,Residential Medium,17.28,0.0,0,17.28,0
2025-03-27 22:00:00,user_001,Residential Medium,20.69,0.0,0,20.69,0
2025-03-27 23:00:00,user_001,Residential Medium,22.78,0.0,0,22.78,0
2025-03-28 00:00:00,user_001,Residential Medium,19.33,0.0,0,19.33,0
2025-03-28 01:00:00,user_001,Residential Medium,17.42,0.0,0,17.42,0
2025-03-28 02:00:00,user_001,Residential Medium,16.66,0.0,0,16.66,0
2025-03-28 03:00:00,user_001,Residential Medium,22.47,0.0,0,22.47,0
2025-03-28 04:00:00,user_001,Residential Medium,18.37,0.0,0,18.37,0
2025-03-28 05:00:00,user_001,Residential Medium,18.35,0.0,0,18.35,0
2025-03-28 06:00:00,user_001,Residential Medium,20.88,0.0,0,20.88,0
2025-03-28 07:00:00,user_001,Residential Medium,21.91,1.26,0,20.65,0
2025-03-28 08:00:00,user_001,Residential Medium,12.84,2.15,0,10.69,0
2025-03-28 09:00:00,user_001,Residential Medium,10.55,3.05,0,7.51,0
2025-03-28 10:00:00,user_001,Residential Medium,15.36,3.73,0,11.63,0
2025-03-28 11:00:00,user_001,Residential Medium,13.46,4.16,0,9.3,0
2025-03-28 12:00:00,user_001,Residential Medium,13.13,4.31,0,8.82,0
2025-03-28 13:00:00,user_001,Residential Medium,12.6,4.16,0,8.44,0
2025-03-28 14:00:00,user_001,Residential Medium,11.85,4.25,0,7.6,0
2025-03-28 15:00:00,user_001,Residential Medium,12.97,3.05,0,9.92,0
2025-03-28 16:00:00,user_001,Residential Medium,11.98,2.4,0,9.58,0
2025-03-28 17:00:00,user_001,Residential Medium,11.67,1.11,0,10.55,0
2025-03-28 18:00:00,user_001,Residential Medium,10.61,0.0,0,10.61,0
2025-03-28 19:00:00,user_001,Residential Medium,12.33,0.0,0,12.33,0
2025-03-28 20:00:00,user_001,Residential Medium,11.13,0.0,0,11.13,0
2025-03-28 21:00:00,user_001,Residential Medium,19.01,0.0,0,19.01,0
2025-03-28 22:00:00,user_001,Residential Medium,15.55,0.0,0,15.55,0
