timestamp,user_id,user_type,consumption_kwh,production_kwh,battery_level_kwh,grid_import_kwh,grid_export_kwh
2025-03-26 00:00:00,user_001,Large Business,168.32,0.0,0,141.2,0
2025-03-26 01:00:00,user_001,Large Business,194.4,0.0,0,194.4,0
2025-03-26 02:00:00,user_001,Large Business,150.83,0.0,0,150.83,0
2025-03-26 03:00:00,user_001,Large Business,187.28,0.0,0,187.28,0
2025-03-26 04:00:00,user_001,Large Business,166.06,0.0,0,166.06,0
2025-03-26 05:00:00,user_001,Large Business,179.44,0.0,0,179.44,0
2025-03-26 06:00:00,user_001,Large Business,158.89,0.0,0,158.89,0
2025-03-26 07:00:00,user_001,Large Business,158.14,8.43,0,149.71,0
2025-03-26 08:00:00,user_001,Large Business,174.41,23.58,0,150.82,0
2025-03-26 09:00:00,user_001,Large Business,199.28,21.21,0,178.06,0
2025-03-26 10:00:00,user_001,Large Business,144.62,29.17,0,115.45,0
2025-03-26 11:00:00,user_001,Large Business,168.08,38.23,0,129.85,0
2025-03-26 12:00:00,user_001,Large Business,221.9,47.17,0,174.73,0
2025-03-26 13:00:00,user_001,Large Business,235.9,45.56,0,190.34,0
2025-03-26 14:00:00,user_001,Large Business,243.96,35.82,0,208.14,0
2025-03-26 15:00:00,user_001,Large Business,307.83,33.35,0,274.47,0
2025-03-26 16:00:00,user_001,Large Business,227.34,23.58,0,203.75,0
2025-03-26 17:00:00,user_001,Large Business,302.05,12.21,0,289.84,0
2025-03-26 18:00:00,user_001,Large Business,234.94,0.0,0,234.94,0
2025-03-26 19:00:00,user_001,Large Business,261.93,0.0,0,261.93,0
2025-03-26 20:00:00,user_001,Large Business,191.49,0.0,0,191.49,0
2025-03-26 21:00:00,user_001,Large Business,169.91,0.0,0,169.91,0
2025-03-26 22:00:00,user_001,Large Business,179.67,0.0,0,179.67,0
2025-03-26 23:00:00,user_001,Large Business,182.09,0.0,0,182.09,0
2025-03-27 00:00:00,user_001,Large Business,159.12,0.0,0,159.12,0
2025-03-27 01:00:00,user_001,Large Business,190.72,0.0,0,190.72,0
2025-03-27 02:00:00,user_001,Large Business,197.6,0.0,0,197.6,0
2025-03-27 03:00:00,user_001,Large Business,169.79,0.0,0,169.79,0
2025-03-27 04:00:00,user_001,Large Business,170.79,0.0,0,170.79,0
2025-03-27 05:00:00,user_001,Large Business,205.08,0.0,0,205.08,0
2025-03-27 06:00:00,user_001,Large Business,195.78,0.0,0,195.78,0
2025-03-27 07:00:00,user_001,Large Business,186.18,9.7,0,176.49,0
2025-03-27 08:00:00,user_001,Large Business,150.56,17.89,0,132.67,0
2025-03-27 09:00:00,user_001,Large Business,167.93,33.35,0,134.57,0
2025-03-27 10:00:00,user_001,Large Business,186.55,40.85,0,145.7,0
2025-03-27 11:00:00,user_001,Large Business,209.83,28.15,0,181.68,0
2025-03-27 12:00:00,user_001,Large Business,286.7,47.17,0,239.53,0
2025-03-27 13:00:00,user_001,Large Business,282.13,34.45,0,247.68,0
2025-03-27 14:00:00,user_001,Large Business,255.01,40.85,0,214.16,0
2025-03-27 15:00:00,user_001,Large Business,269.78,33.35,0,236.43,0
2025-03-27 16:00:00,user_001,Large Business,215.35,23.58,0,191.77,0
2025-03-27 17:00:00,user_001,Large Business,313.69,12.21,0,301.48,0
2025-03-27 18:00:00,user_001,Large Business,306.91,0.0,0,306.91,0
2025-03-27 19:00:00,user_001,Large Business,235.6,0.0,0,235.6,0
2025-03-27 20:00:00,user_001,Large Business,148.58,0.0,0,148.58,0
2025-03-27 21:00:00,user_001,Large Business,152.09,0.0,0,152.09,0
2025-03-27 22:00:00,user_001,Large Business,151.12,0.0,0,151.12,0
2025-03-27 23:00:00,user_001,Large Business,166.11,0.0,0,166.11,0
2025-03-28 00:00:00,user_001,Large Business,146.82,0.0,0,146.82,0
2025-03-28 01:00:00,user_001,Large Business,160.74,0.0,0,160.74,0
2025-03-28 02:00:00,user_001,Large Business,172.39,0.0,0,172.39,0
2025-03-28 03:00:00,user_001,Large Business,202.82,0.0,0,202.82,0
2025-03-28 04:00:00,user_001,Large Business,145.3,0.0,0,145.3,0
2025-03-28 05:00:00,user_001,Large Business,160.48,0.0,0,160.48,0
2025-03-28 06:00:00,user_001,Large Business,202.53,0.0,0,202.53,0
2025-03-28 07:00:00,user_001,Large Business,187.16,12.21,0,174.95,0
2025-03-28 08:00:00,user_001,Large Business,200.16,19.39,0,180.77,0
2025-03-28 09:00:00,user_001,Large Business,158.82,33.35,0,125.46,0
2025-03-28 10:00:00,user_001,Large Business,164.8,40.85,0,123.95,0
2025-03-28 11:00:00,user_001,Large Business,204.57,45.56,0,159.01,0
2025-03-28 12:00:00,user_001,Large Business,314.58,47.17,0,267.41,0
2025-03-28 13:00:00,user_001,Large Business,294.69,45.56,0,249.13,0
2025-03-28 14:00:00,user_001,Large Business,225.25,40.85,0,184.4,0
2025-03-28 15:00:00,user_001,Large Business,315.11,33.35,0,281.75,0
2025-03-28 16:00:00,user_001,Large Business,260.99,23.58,0,237.41,0
2025-03-28 17:00:00,user_001,Large Business,224.86,12.21,0,212.65,0
2025-03-28 18:00:00,user_001,Large Business,261.71,0.0,0,261.71,0
2025-03-28 19:00:00,user_001,Large Business,281.41,0.0,0,281.41,0
2025-03-28 20:00:00,user_001,Large Business,190.74,0.0,0,190.74,0
2025-03-28 21:00:00,user_001,Large Business,143.67,0.0,0,143.67,0
2025-03-28 22:00:00,user_001,Large Business,190.54,0.0,0,190.54,0
2025-03-28 23:00:00,user_001,Large Business,175.17,0.0,0,175.17,0
2025-03-29 00:00:00,user_001,Large Business,158.51,0.0,0,158.51,0
2025-03-29 01:00:00,user_001,Large Business,170.13,0.0,0,170.13,0
2025-03-29 02:00:00,user_001,Large Business,152.49,0.0,0,152.49,0
2025-03-29 03:00:00,user_001,Large Business,205.55,0.0,0,205.55,0
2025-03-29 04:00:00,user_001,Large Business,180.5,0.0,0,180.5,0
2025-03-29 05:00:00,user_001,Large Business,147.78,0.0,0,147.78,0
2025-03-29 06:00:00,user_001,Large Business,156.23,0.0,0,156.23,0
2025-03-29 07:00:00,user_001,Large Business,207.62,12.21,0,195.41,0
2025-03-29 08:00:00,user_001,Large Business,161.1,23.58,0,137.52,0
2025-03-29 09:00:00,user_001,Large Business,187.12,33.35,0,153.76,0
2025-03-29 10:00:00,user_001,Large Business,187.11,40.85,0,146.26,0
2025-03-29 11:00:00,user_001,Large Business,181.5,45.56,0,135.94,0
2025-03-29 12:00:00,user_001,Large Business,301.26,36.38,0,264.88,0
