Hour,U1_Consumption_kWh,U1_Production_kWh,U1_Battery_kWh,U1_Energy_Sold_kWh,U2_Consumption_kWh,U2_From_User1_kWh,U2_From_Grid_kWh
15,3.08,0.0,1.92,0,1.41,0,1.41
16,2.97,1.5,0.44,0,1.58,0,1.58
17,4.73,0.78,0.0,0,1.84,0,1.84
18,2.65,0.0,0.0,0,4.83,0,4.83
19,2.93,0.0,0.0,0,4.38,0,4.38
20,4.1,0.0,0.0,0,5.16,0,5.16
21,3.34,0.0,0.0,0,5.09,0,5.09
22,3.39,0.0,0.0,0,3.2,0,3.2
23,2.48,0.0,0.0,0,2.04,0,2.04
0,2.49,0.0,0.0,0,2.13,0,2.13
1,2.44,0.0,0.0,0,2.04,0,2.04
2,2.84,0.0,0.0,0,1.44,0,1.44
3,2.62,0.0,0.0,0,1.7,0,1.7
4,2.43,0.0,0.0,0,1.95,0,1.95
5,2.66,0.0,0.0,0,1.82,0,1.82
6,2.01,0.0,0.0,0,2.41,0,2.41
7,2.97,0.78,0.0,0,3.15,0,3.15
8,2.31,1.5,0.0,0,3.83,0,3.83
9,3.87,0.89,0.0,0,2.38,0,2.38
10,4.82,2.6,0.0,0,1.67,0,1.67
11,3.4,2.9,0.0,0,1.57,0,1.57
12,4.41,3.96,0.0,0,1.47,0,1.47
13,4.2,2.9,0.0,0,1.48,0,1.48
14,3.26,2.6,0.0,0,2.08,0,2.08
